year,country,"Stocks traded, total value (% of GDP)","Inflation, consumer prices (annual %)","Stocks traded, turnover ratio of domestic shares (%)",Tax revenue (% of GDP),GDP per capita (current US$),"Central government debt, total (% of GDP)",Gini index (World Bank estimate),Broad money (% of GDP),"Total reserves (includes gold, current US$)","International migrant stock, total",Income share held by highest 10%,Poverty headcount ratio at national poverty lines (% of population),"Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Unemployment, total (% of total labor force) (modeled ILO estimate)",Exports of goods and services (% of GDP),timestamp
1997,DOM,,8.29656754792047,,11.4087879252525,2476.06040304923,17.5702324990029,48.9,24.2936595703194,3.96257894564958E8,,37.9,,68.677,36.0,6.42,35.2222875438087,1635706354777
1998,DOM,,4.83166558591895,,11.4316696590021,2638.31327013425,,,25.1631175101779,5.07121243385005E8,,,,68.925,34.8,6.42,34.3098842791,1635706359829
2005,LBN,4.19633381113584,,18.7553016316551,15.1681037723611,4575.10745896031,,,229.447901132825,1.66179705714448E10,756784.0,,,76.865,12.1,8.27,36.6235387089593,1635714811299
2013,PYF,,,,,,,,,,,,,76.307,,11.77,,1635723266916
2006,LBN,9.12953044177348,,24.6878668362811,15.0082855367349,4626.85300341662,,,241.43641489229,1.92388670613303E10,,,,77.26,11.2,8.62,35.5896575059132,1635714816354
2014,PYF,,,,,,,,,,,,,76.546,,11.92,,1635723271928
1990,ABW,,5.83668775158168,,,12306.7176791493,,,55.5966216567767,1.3643E8,14444.0,,,73.468,,,,1635697903958
1991,ABW,,5.55555555555579,,,13495.79430054,,,56.9711022470094,1.5495E8,,,,73.509,,,,1635697909317
1992,ABW,,3.87337536996478,,,14045.4745656146,,,58.3243974540015,1.75435E8,,,,73.544,,,,1635697914329
1993,ABW,,5.21555996035712,,,14938.6815734932,,,54.9189317678615,2.20304999E8,,,,73.573,,,,1635697919342
1994,ABW,,6.3110797127044,,,16239.9878515928,,,53.7569592004958,2.15915E8,,,,73.598,,,,1635697924490
1995,ABW,,3.36139107320895,,,16439.3563609282,,,53.3627229073678,2.55345E8,22274.0,,,73.622,,,84.9110485901043,1635697929501
1996,ABW,,3.22528797213981,,,16583.8758560136,,,52.671559796448,2.24545E8,,,,73.646,,,86.6351163703935,1635697934514
1997,ABW,,2.99994809778411,,,17927.9594391833,,,49.62398529637,2.01350001E8,,,,73.671,,,82.5255818363492,1635697939553
1998,ABW,,1.8694885361554,,,19077.6874273513,,,51.6281668025485,2.50969999E8,,,,73.7,,,79.6502635437322,1635697944608
1999,ABW,,2.28037198258756,,,19355.3335357274,,,55.0970714797604,2.48935E8,,,,73.738,,,79.9335886452149,1635697949617
2000,ABW,,4.04402131190514,,,20617.7504673528,,,51.8345420279829,2.35455E8,30104.0,,,73.787,,,74.4003244390901,1635697954630
2001,ABW,,2.8836043031626,,,20670.3670051627,,,53.5525167297061,3.2136061452514E8,,,,73.853,,,70.4975269130055,1635697959683
2002,ABW,,3.31524678585428,,,20436.8871286309,,,58.5208633093525,3.74002932960894E8,,,,73.937,,,64.9208633093525,1635697964692
2003,ABW,,3.65636507938414,,,20833.976357295,,,61.1967938087341,3.369457E8,,,,74.038,,,63.1011608623549,1635697969704
2004,ABW,,2.52912946932762,,,22568.3749910043,,,57.2900476309852,3.39224E8,,,,74.156,,,65.0789671596891,1635697974763
2005,ABW,,3.39778677828806,,,23300.7383630907,,,58.1687440076702,3.248134E8,32540.0,,,74.287,,,68.5522531160115,1635697979775
2006,ABW,,3.60802438784541,,,24046.2263769373,,,57.2442396313364,4.013896E8,,,,74.429,,,65.852534562212,1635697984784
2007,ABW,,5.39256784475512,,,25834.1117784233,,,54.8258919034394,4.554571E8,,,,74.576,,,66.1610766930143,1635697989837
2008,ABW,,8.9559870517779,,,27083.6348596914,,,60.8770858770859,6.918739E8,,,,74.725,,,67.7045177045177,1635697994847
2009,ABW,,-2.13542872046934,,,24631.1820522439,,,70.7243460764588,6.8697011E8,,,,74.872,,,63.7826961770624,1635697999859
2010,ABW,,2.07814071860782,,,23513.527696809,,,73.7228324374854,7.0871369E8,34327.0,,,75.017,,,61.0422996027109,1635698004911
2011,ABW,,4.31629742195207,,,24985.0139185797,,,69.2068361086766,6.8977598E8,,,,75.158,,,67.8133216476775,1635698009924
